medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,1,N,10-01-13 14:55,10-01-13 14:57,1,-73.961678,40.756123,-73.969917,40.753159
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,1,N,10-01-13 10:42,10-01-13 10:51,1,-73.946854,40.775887,-73.961754,40.77993
FAE1370A694D0621FAE1E62FAFD64080,265B3D7D30A9B7AE389A2626F6825266,CMT,1,N,07-01-13 08:29,07-01-13 08:34,1,-73.986847,40.762066,-74.002892,40.760334
312E0CB058D7FC1A6494EDB66D360CD2,7B5156F38990963332B33298C8BAE25E,CMT,1,N,05-01-13 14:00,05-01-13 14:06,1,-73.986351,40.738503,-73.981422,40.74744
0DDA4FBFADAE0126868397C423989193,CD45CB7CD02BB6649F9A23F5A374A480,CMT,1,N,05-01-13 21:04,05-01-13 21:11,1,-73.9879,40.737755,-73.979568,40.730965
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,1,N,08-01-13 13:51,08-01-13 13:55,1,-73.998299,40.740654,-74.000504,40.747913
26B6CDD419985C6F551F0FAE87EF3AA9,015760806341352ED97B0F79C8A873BC,CMT,1,N,06-01-13 22:18,06-01-13 22:26,1,-74.003059,40.723473,-73.976883,40.751884
D5367E940A20B9D2550BF7CF7AE01681,5B34A2589D1D2106FC0C47564A4833F0,CMT,1,N,08-01-13 12:50,08-01-13 12:58,2,-73.952026,40.766479,-73.966827,40.759968
20D9ECB2CA0767CF7A01564DF2844A3E,598CCE5B9C1918568DEE71F43CF26CD2,CMT,1,N,08-01-13 07:51,08-01-13 07:51,1,-73.945396,40.80209,-73.945412,40.802025
21EF33AA5B34F791B9627087A59C2B13,81D753BF37DADFA0AB6DD2A246A81D32,CMT,1,N,08-01-13 10:54,08-01-13 10:55,1,-73.983917,40.746563,-73.990921,40.750141
02BFD1B64C2C80B433D3A282C828912B,375201058CFE70CE40B69903041C2310,CMT,1,N,01-01-13 19:41,01-01-13 19:49,2,-73.984734,40.76931,-73.997787,40.744205
1944EB168702ED8E6B9FD94E988D0197,1D24DD6F12731B59E72DD7CF387F5011,CMT,1,N,08-01-13 08:30,08-01-13 08:41,1,-73.976288,40.765472,-73.975105,40.757393
